0;0;0;0;land;false;unknown;0
1;226;152;201;land;false;desert;1
2;96;195;244;land;true;plains;1
3;239;247;32;land;false;forest;1
4;249;239;32;land;false;desert;1
5;200;175;199;land;false;desert;1
6;229;168;170;land;false;desert;1
7;55;242;214;land;false;plains;1
8;169;185;236;land;false;forest;1
9;174;223;149;land;false;hills;1
10;250;153;140;land;false;plains;1
11;246;221;125;land;true;marsh;1
12;212;228;147;land;true;urban;1
13;64;253;227;land;false;marsh;1
14;215;131;252;land;true;mountain;1
15;254;137;119;land;true;hills;1
16;207;111;209;land;true;forest;1
17;250;213;218;land;false;forest;1
18;181;171;187;land;false;hills;1
19;179;244;242;land;false;hills;1
20;205;90;236;land;false;hills;1
21;243;228;138;land;false;desert;1
22;224;109;239;land;true;plains;1
23;249;192;193;land;true;plains;1
24;223;211;178;land;false;desert;1
25;229;156;226;land;false;plains;1
26;217;212;188;land;true;plains;1
27;201;228;150;land;false;plains;1
28;228;248;127;land;false;mountain;1
29;246;253;221;land;false;hills;1
30;153;208;234;land;true;forest;1
31;222;231;103;land;true;hills;1
32;237;140;177;land;false;forest;1
33;147;243;147;land;false;forest;1
34;133;189;206;land;false;hills;1
35;138;171;201;land;true;plains;1
36;253;130;124;land;false;forest;1
37;216;186;147;land;true;forest;1
38;177;241;94;land;false;desert;1
39;214;223;232;land;false;plains;1
40;172;157;240;land;true;forest;1
41;236;156;165;land;true;plains;1
42;219;230;200;land;false;mountain;1
43;192;238;145;land;true;hills;1
44;106;241;154;land;false;forest;1
45;252;172;237;land;false;forest;1
46;160;233;123;land;false;hills;1
47;222;222;100;land;false;urban;1
48;196;217;254;land;false;forest;1
49;82;197;240;land;true;plains;1
50;138;199;215;land;false;hills;1
51;211;235;229;land;false;forest;1
52;180;228;227;land;false;desert;1
53;154;254;245;land;false;forest;1
54;163;105;234;land;false;hills;1
55;63;250;217;land;true;hills;1
56;238;44;254;land;true;plains;1
57;73;244;223;land;false;plains;1
58;219;208;150;land;false;urban;1
59;116;247;192;land;false;marsh;1
60;181;239;211;land;false;mountain;1
61;212;216;210;land;false;mountain;1
62;236;181;135;land;false;hills;1
63;254;181;173;land;false;hills;1
64;117;212;177;land;false;mountain;1
65;192;187;251;land;false;urban;1
66;249;223;242;land;true;plains;1
67;188;177;238;land;false;forest;1
68;169;235;218;land;false;desert;1
69;253;202;150;land;false;forest;1
70;176;187;202;land;false;plains;1
71;203;133;244;land;true;plains;1
72;192;253;83;land;false;forest;1
73;243;37;239;land;false;hills;1
74;230;114;240;land;false;desert;1
75;201;155;169;land;false;forest;1
76;248;200;203;land;false;forest;1
77;160;169;244;land;false;mountain;1
78;82;228;245;land;false;desert;1
79;178;252;236;land;false;desert;1
80;217;215;149;land;true;plains;1
81;94;183;252;land;false;forest;1
82;217;138;247;land;false;plains;1
83;188;97;244;land;false;forest;1
84;136;171;215;land;false;forest;1
85;238;176;168;land;false;mountain;1
86;163;181;192;land;true;forest;1
87;219;111;223;land;false;plains;1
88;223;212;159;land;false;forest;1
89;201;231;79;land;false;hills;1
90;235;166;136;land;true;plains;1
91;234;195;100;land;false;hills;1
92;240;248;253;land;false;mountain;1
93;240;232;193;land;true;marsh;1
94;67;229;236;land;false;mountain;1
95;142;146;225;land;false;desert;1
96;88;241;209;land;false;forest;1
97;158;173;252;land;false;mountain;1
98;143;235;248;land;true;plains;1
99;72;213;230;land;true;plains;1
100;210;136;189;land;true;hills;1
101;145;154;206;land;false;plains;1
102;253;80;196;land;true;plains;1
103;87;208;234;land;false;forest;1
104;94;173;250;land;false;plains;1
105;156;244;105;land;false;forest;1
106;93;249;171;land;false;desert;1
107;173;250;124;land;false;forest;1
108;199;154;250;land;false;mountain;1
109;166;211;125;land;false;hills;1
110;229;49;229;land;false;forest;1
111;232;195;227;land;false;forest;1
112;237;110;173;land;false;forest;1
113;253;212;194;land;false;mountain;1
114;231;244;171;land;true;hills;1
115;173;245;168;land;false;forest;1
116;201;176;161;land;false;urban;1
117;245;247;178;land;false;urban;1
118;201;209;140;land;false;forest;1
119;142;158;201;land;false;forest;1
120;155;143;234;land;false;urban;1
121;182;119;214;land;false;forest;1
122;223;170;239;land;false;mountain;1
123;252;131;184;land;true;plains;1
124;195;127;220;land;true;hills;1
125;252;254;233;land;true;hills;1
126;232;186;131;land;false;hills;1
127;178;132;193;land;false;forest;1
