1;arms_factory;3558.00;10.00;2003.00;4.54;0
1;arms_factory;3518.00;11.18;1968.00;5.74;0
1;arms_factory;3560.00;10.35;1991.00;3.58;0
1;arms_factory;3522.00;9.80;2021.00;5.14;0
1;arms_factory;3529.00;9.90;2013.00;1.52;0
1;arms_factory;3532.00;10.03;2000.00;4.19;0
1;industrial_complex;3511.00;9.90;1996.00;2.03;0
1;industrial_complex;3529.00;10.45;1988.00;5.05;0
1;industrial_complex;3490.00;9.80;2007.00;6.25;0
1;industrial_complex;3586.00;9.80;2009.00;4.09;0
1;industrial_complex;3482.00;9.95;1995.00;0.47;0
1;industrial_complex;3572.00;9.80;1996.00;2.04;0
1;air_base;3557.00;9.90;2021.00;4.70;0
1;supply_node;3579.00;9.80;2018.00;3.58;0
1;bunker;3541.00;9.80;2025.00;4.77;0
1;bunker;3487.00;9.80;2016.00;1.16;0
1;coastal_bunker;3579.00;9.80;2026.00;-3.14;0
1;dockyard;3520.00;9.80;2026.00;-3.36;0
1;anti_air_building;3527.00;10.25;1994.00;0.11;0
1;anti_air_building;3530.00;10.10;2002.00;1.67;0
1;anti_air_building;3533.00;10.65;1985.00;5.79;0
1;synthetic_refinery;3493.00;9.80;2009.00;0.71;0
1;fuel_silo;3548.00;11.03;1976.00;4.83;0
1;radar_station;3534.00;10.32;1992.00;2.12;0
1;rocket_site;3566.00;10.03;1991.00;2.78;0
1;nuclear_reactor;3496.00;10.53;1982.00;5.44;0
2;arms_factory;3781.00;10.07;1994.00;3.58;0
2;arms_factory;3839.00;10.30;1955.00;5.14;0
2;arms_factory;3724.00;10.30;1998.00;1.52;0
2;arms_factory;3821.00;10.15;1955.00;4.19;0
2;arms_factory;3807.00;10.45;1994.00;2.03;0
2;arms_factory;3770.00;10.55;1987.00;5.05;0
2;industrial_complex;3824.00;10.60;1976.00;6.25;0
2;industrial_complex;3753.00;9.80;1999.00;4.09;0
2;industrial_complex;3741.00;11.45;1973.00;0.47;0
2;industrial_complex;3714.00;9.80;2011.00;2.04;0
2;industrial_complex;3822.00;10.90;1968.00;4.70;0
2;industrial_complex;3757.00;11.50;1971.00;2.54;0
2;air_base;3757.00;9.80;1999.00;3.74;0
2;supply_node;3744.00;9.80;2002.00;0.18;0
2;naval_base;3748.00;9.80;2010.00;-3.14;13366
2;coastal_bunker;3831.00;9.80;2004.00;-3.44;0
2;dockyard;3727.00;9.80;2011.00;-3.79;0
2;anti_air_building;3766.00;10.57;1986.00;5.95;0
2;anti_air_building;3819.00;11.03;1975.00;2.33;0
2;anti_air_building;3779.00;11.60;1963.00;3.89;0
2;synthetic_refinery;3735.00;11.40;1972.00;1.73;0
2;fuel_silo;3716.00;9.80;2010.00;4.40;0
2;radar_station;3786.00;11.20;1978.00;2.31;0
2;rocket_site;3768.00;11.40;1970.00;2.34;0
